"","Domain","Phylum","Class","Order","Family","Genus","SIP1","SIP2","SIP3","SIP4","SIP5","SIP6","SIP7","SIP8","SIP9","SIP10","SIP11","SIP12","SIP13","SIP14","SIP15","SIP16","SIP17","SIP18"
"18","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodoplanes",0,0,30.5679688057954,0,379.453168606381,585.580437047342,66.6631265646702,5.18427447884125,0,0,3.18551468295982,51.3394869763746,18.0487002585294,0,1.55659095334426,0,0,0
"19","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Tepidimonas",4.97205914653359,19.9257060463749,0,0,0,1.30709918983782,0,0,29.2693503885698,0,1.36522057841135,0,0,4.85746938487174,1.55659095334426,0.698673905557557,1.18751729269202,17.0470151795172
"20","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",9266.67523435199,6600.9436196963,100.966927267627,0,255.550093143073,2461.26777446461,595.886723169909,2000.26590308625,222.447062953131,0,647.114554166982,410.715895810997,961.503486499838,136.703066974248,487.212968396752,1024.95461945294,173.377524733035,298.978420071532
"22","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Thiobacillus",38.5334583856354,2.2139673384861,0,0,12.9065703607613,5.22839675935127,395.897343475899,16.848892056234,312.206404144745,0,12.7420587318393,224.501485422113,14.7671183933422,49.9625422443951,18.6790914401311,1318.39765978711,9.50013834153618,0
"27","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Syntrophomonas",0,0,0,0,0,0,0,651.922515714287,0,0,0,0,0,0,0,31.4403257500901,1.18751729269202,0
"28","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",0,3447.14714602285,11.1156250202892,0,30.975768865827,14.378091088216,1.36047197070756,2.16011436618385,0,0,0.910147052274236,0,1.64079093259358,0,0,0,0,1.31130885996286
"29","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",0,0,0,0,33.5570829379793,14.378091088216,363.246016178917,419.494209912904,0,0,0,29.5854670711311,0,0,12.452727626754,13.2748042055936,0,0
"30","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Janibacter",0,0,0,0,0,2.61419837967563,0,0,0,0,238.913601221987,82.6652756399253,24.6118639889037,0,0,0,1.18751729269202,2402.31783145196
"31","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia",0,544.63596526758,1.38945312753615,0,2.58131407215225,2.61419837967563,0,0,3.90258005180931,0,0,123.562833061783,315.031859057967,6.24531778054938,0,0,0,249.148683392943
"32","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",5194.55879334097,2810.6315362081,107.914192905308,0,20.650512577218,1487.47887803544,16.3256636484907,701.173123263279,245.862543263987,0,14.1072793102507,93.1072051944421,16.4079093259358,64.5349503990103,49.8109105070162,660.945514657449,3.56255187807607,754.002594478644
"36","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",0,0,0,0,0,0,0,0,0,0,159.275734147991,6.96128636967792,13.1263274607486,0,54.4806833670489,1.39734781111511,0,0
"38","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",0,0,0,0,0,1.30709918983782,0,0,0,0,151.53948420366,3.48064318483896,11.4855365281551,0,0,149.516215789317,2.37503458538405,0
"39","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Salinibacterium",0,0,0,0,0,0,0,0,0,0,0,52.2096477725844,0,0,0,0,57.0008300492171,6.5565442998143
"42","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",1.2430147866334,0,68.5463542917836,0,56.7889095873495,10.4567935187025,4.08141591212267,1.29606861971031,15.6103202072373,0,10.9217646272908,10.4419295545169,4.92237279778074,0,0,146.721520167087,0,51.1410455385515
"47","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",14.9161774396008,4772.20659810678,391.825781965195,0,36.1383970101315,26.1419837967563,1.36047197070756,341.730092730285,97.5645012952328,0,39.1363232477921,19.1435375166143,380.66349636171,1.38784839567764,0,1597.86722201013,16.6252420976883,30.1601037791458
"53","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter",1.2430147866334,0,0,0,2.58131407215225,1581.59001970376,899.271972637694,276.062615998296,35.1232204662838,0,0,50.4693261801649,177.205420720107,4.85746938487174,18.6790914401311,16.0694998278238,0,0
"54","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",0,0,0,0,0,0,2.72094394141511,753.879913798165,1.95129002590466,0,1.36522057841135,2.61048238862922,0,0,149.432731521049,51.7018690112592,0,0
"55","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",0,0,119.492968968109,0,5.1626281443045,2.61419837967563,365.966960120332,10.8005718309193,0,0,7.736249944331,0,4.92237279778074,0,9.33954572006553,1.39734781111511,0,0
"56","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes",0,0,0,0,136.809645824069,5.22839675935127,0,0.432022873236771,0,0,0,0,1.64079093259358,0,0,0,0,0
"57","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles",1.2430147866334,0,0,0,7.74394221645676,3.92129756951345,0,0.864045746473541,25.3667703367605,0,0,3.48064318483896,0,0,0,16.0694998278238,15.4377248049963,3.93392657988858
"58","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia",0,0,73.6410157594161,0,5.1626281443045,3326.56743813724,10.8837757656604,915.456468388717,5.85387007771397,0,3.64058820909694,55.6902909574233,1.64079093259358,9.71493876974349,0,41.9204343334534,0,0
"59","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",38.5334583856354,13.2838040309166,112.545703330428,0,10.325256288609,2981.49325202006,216.315043342501,756.904073910822,224.398352979036,0,141.527866628644,34.8064318483896,129.622483674893,296.999556675015,5832.54630218092,5922.65869741141,1138.82908369165,485.184278186258
"61","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",0,191.508174779047,17.5997396154579,0,0,10.4567935187025,0,1030.80657554293,0,0,21.8435292545817,7.83144716588766,18.0487002585294,0,158.772277241114,2155.40899864506,0,323.893288410826
"63","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus",6.21507393316699,1545.3492022633,2.77890625507231,0,5.1626281443045,2.61419837967563,0,0.432022873236771,60.4899908030444,0,0,97.4580091754908,1.64079093259358,0,0,0,2.37503458538405,0
"65","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",0,87.4517098702008,116.250911670525,0,5.1626281443045,9.14969432886472,0,0,1.95129002590466,0,11.8319116795651,0.87016079620974,1.64079093259358,0,0,0,0,0
"68","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Phycicoccus",1.2430147866334,596.664197722003,0.926302085024102,0,2.58131407215225,322.853499889941,2.72094394141511,0.864045746473541,17.5616102331419,0,0,0.87016079620974,1.64079093259358,0.69392419783882,0,0,1.18751729269202,0
"72","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces",0,224.717684856339,0.463151042512051,0,2.58131407215225,779.031117143339,8.16283182424533,2.59213723942062,0,0,0.910147052274236,0,0,0.69392419783882,76.2729567138685,2.79469562223023,0,262.261771992572
"75","Bacteria","Firmicutes","Bacilli","Bacillales","[Thermicanaceae]","Thermicanus",0,104.056464908847,0.463151042512051,0,0,0,0,0,0,0,0.455073526137118,0,0,0,0,0,0,0
"76","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella",0,148.335811678568,0,0,2.58131407215225,2.61419837967563,0,0,0,0,0,122.692672265573,0,0,1.55659095334426,0,0,1.31130885996286
"81","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium",12.430147866334,0,0,0,289.107176081052,24.8348846069185,540.1073723709,16.4168691829973,83.9054711139002,0,0,68.7427029005694,9.84474559556148,3.4696209891941,14.0093185800983,0,0,274.063551732238
"82","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",12.430147866334,0,0,0,0,1.30709918983782,0,0,62.441280828949,0,1.36522057841135,1.74032159241948,0,29.8387405070693,93.3954572006553,6.28806515001802,1.18751729269202,0
"84","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",23.6172809460346,574.524524337142,92.1670574598982,0,95.5086206696333,10.4567935187025,390.455455593069,10.8005718309193,119.028691580184,0,81.4581611785441,167.07087287227,9.84474559556148,2.08177259351646,12.452727626754,0.698673905557557,0,0
"85","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Rhodococcus",0,0,0,0,0,1.30709918983782,0,0,1.95129002590466,0,0.910147052274236,87.8862404171837,4.92237279778074,98.5372360931125,6.22636381337702,2.79469562223023,0,0
"87","Bacteria","Planctomycetes","Planctomycetia","Gemmatales","Gemmataceae","Gemmata",0,0,0,0,5.1626281443045,682.30577709534,574.119171638588,23.3292351547856,0,0,0,6.09112557346818,0,0.69392419783882,7.78295476672128,0.698673905557557,0,372.411716229452
"88","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",21.1312513727678,0,0,0,2.58131407215225,0,0,0.432022873236771,0,0,0,3.48064318483896,0,0,0,0,1789.58856008688,367.166480789601
"89","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",0,0,0,0,0,0,112.919173568727,6.04832022531479,0,0,0,0,0,0,3.11318190668851,0.698673905557557,0,0
"90","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Sediminibacterium",2.4860295732668,0,51.8729167613497,0,64.5328518038063,78.425951390269,1.36047197070756,115.782130027454,1.95129002590466,0,3.64058820909694,4.3508039810487,149.311974866016,0,0,122.96660737813,0,0
"92","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Cellulomonas",0,0,0,0,366.54659824562,9.14969432886472,0,0.432022873236771,0,0,0,0,11.4855365281551,0.69392419783882,0,0,15.4377248049963,1.31130885996286
"95","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5938652737374,3.49336952778779,0,136.376121436137
"97","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",16.1591922262342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249.26819191201,363.232554209712
"100","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",26.1033105193014,2.2139673384861,0,0,0,0,0,534.412294193885,132.687721761517,0,2.73044115682271,2.61048238862922,205.098866574198,0.69392419783882,94.9520481539996,18.1655215444965,17.8127593903803,3.93392657988858
"101","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter",0,0,0,0,0,751.582034156745,2.72094394141511,2.16011436618385,0,0,0,0,0,1.38784839567764,0,0,0,0
"106","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Simplicispira",0,0,0,0,0,0,0,0,0,0,0.455073526137118,0.87016079620974,0,0,0,43.3177821445686,1.18751729269202,0
"109","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Cloacibacterium",4.97205914653359,142.800893332353,0,0,0,2.61419837967563,2.72094394141511,22.8972122815488,35.1232204662838,0,51.8783819796314,31.3257886635506,39.3789823822459,1.38784839567764,105.848184827409,3957.289001078,0,18.35832403948
